SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,1998,,,,,,,,,,,,,,,,,,,,,,,
Sex:,F,,,,,,,,,,,,,,,,,,,,,,,
Weight:,,kg,,,,,,,,,,,,,,,,,,,,,,
Jugular katheter location,,,,,,,,,,,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,,,,,,,,,,,,,,
PD catheter location:,Right (1),Left (1),Right (2),Right (3),,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,29-5-2018,12-9-2018,17-12-2018,17-1-2019,,,,,,,,,,,,,,,,,,,,
,removed,,the right (2) catheter was used during this experiment.,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,,Costs LKCH
,,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,,
T=0,,XXX,04:00,,,2.9,261,139,,28.9,59,2.39,5,,,,,,,,,,,
T=120,,XXX,08:00,,,2.9,265,141,,,59,2.41,5.1,,,,,,,,,,,11.78
T=240,,XXX,10:00,,,3.2,280,140,,29.1,59,2.45,4.8,,,,,,,,,,,11.78
Mean,,,,,,3,269,,3.6,,,2.4,,,,,,,,,,,,
Dialysate concentrations,No. of sampling tubes,,,,,,,,,,,,,,,,,,,,,,,Costs LKCH
Sample,,Sample volume,Time code,Actual time,Dextran,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na,
,,mL,,,g/L,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,,
drain after PN 1.36% dwell of the previous SPA 1,4,2,04:01,,0.296,,,,3.1,113,0.85,,,,,0.3,0.13,,,,,,,8.91
Fresh PD fluid for SPA (PN 1.36% + blue dextran),6,2,06:02,,0.48,,,,<1,,,,77.2,,,,,,,,,,,
T=0,,,,,,0.25,18,,0.58,,,0.1,70,,,,,0.09,0.07,,,1,,
T=10,6,6,06:11,12:41,0.345,0.4,24,129,,21,0.16,0.16,67,,,,,0.14,0.09,,,0.96,#DIV/0!,16.06
T=20,1,2,06:21,12:05,0.338,,,,,,,,,,,,,,,,,,,
T=30,1,2,06:31,13:01,0.339,,,,,,,,,,,,,,,,,,,
T=60,6,6,07:01,13:32,0.328,0.8,48,127,,36,0.28,0.33,60.6,,,,,0.28,0.18,,,0.87,#DIV/0!,16.06
T=120,3,3,08:01,14:33,0.328,1.1,66,,3,,,0.47,53.3,,,,,0.38,0.25,,,0.76,,7.27
T=180,3,3,09:01,15:30,0.317,1.4,82,,,,,0.59,50.6,,,,,0.46,0.3,,,0.72,,7.27
T=240,6,27,10:01,16:45,0.316,1.7,95,126,3.1,59,0.45,0.67,47.2,,,,,0.53,0.34,0.27,0.86,0.67,0.9,16.06
PD effluent complete drain after rinsing,4,4,10:02,17:04,0.175,,,,,35,0.26,,,,,,,,,,,,,8.91
,,51,,,,,,,,,,,50.3,,,,,,,,,,,104.1
,,,,,,,,,,,,X,0.91,1.26,,,,,,,,,,
Exchange scheme:,,,,,,,,,,,,,,,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Total sample volume (mL),,,,,,,,,,,,,,,
SPA 1 dwell,1.36 % Physioneal + blue dextran,2000,2250,210,1855,1950,75,1705,,Soortelijk gewicht:,,1.1,g/mL,,,,,,,,,,,
SPA 2 dwell,1.36% Physioneal + blue dextran,2000,2355,240,1923,975,75,818,,,,,,,,,,,,,,,,
PD fluid for rinsing,1.36% Physioneal,2000,2365,1325,945,2835,1430,1277,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IP volume,,,,"Dx0, absolute amount of Dextran at T=0",,,,0.9,,,,,,,,,,,
[Creatinine],,,2369,2112,2240.3,2240,2237.817717,,"Dxt, absolute amount of Dextran at T=240",,,,0.7,,,,,,,,,,,
[Total protein],446,1294,,,,,,,Dx geometric,,,,0.3,,,,,,,,,,,
[Albumin],439,1379,,,,,,,ELAR (mL/min),,,,3.1,,,,,,,,,,,
[Dextran] ,5297,1173,,,,,,,,,,,,,,,,,,,,,,
Mean,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Transport parameters:,,,,,,,,,,,,,,,,,,,,,,,,
,2-h Removal (mmol),Removal (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),Removal (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),2-h Removal sampling,Removal Sampling,,,,,,,,,,,,,
Creatinine,0.1,0.16,2.47,4.24,3.96,0.17,2.6,4.8,4.4,0.000576,0,,,,,,,,,,,,,
Urea,1.74,3.02,4.19,7.6,7.53,2.99,4.2,7.7,7.8,0.0096,0.02,,,,,,,,,,,,,
Phosphate,0.76,1.19,2.04,3.49,3.17,1.18,2,4.1,3.7,0.00392,0.01,,,,,,,,,,,,,
Potassium,4.99,5.22,6.04,16.82,17.31,,,,,0.040518824,0.05,,,,,,,,,,,,,
Glucose,,-64.8,,,,,,,,,1.3325,,,,,,,,,,,,,
Fluid parameters:,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Time code,Time,Blue dextran,Sample volume,IPV,ELAR,UFV,UFR,,,,,,,,,,,,,,,,
,,min,g/L,mL,mL,mL,mL,L/min,,,,,,,,,,,,,,,,
T=-1,,,0.48,,1923,,,,,,,,,,,,,,,,,,,
T=0,,0,,6,,,,,,,,,,,,,,,,,,,,
T=10,06:11,10,0.345,6,2368.58,0,0,0,,,,,,,,,,,,,,,,
T=20,06:21,20,0.338,2,2380.09,31.41965798,48.93,0.004892911,,,,,,,,,,,,,,,,
T=30,06:31,30,0.339,2,2339.65,31.41965798,-7.02,-0.0007015,,,,,,,,,,,,,,,,
T=60,07:01,60,0.328,6,2321.79,94.25897394,78.4,0.002613229,,,,,,,,,,,,,,,,
T=120,08:01,120,0.328,3,2127.27,188.5179479,0,-3.32E-18,,,,,,,,,,,,,,,,
T=180,09:01,180,0.317,3,2009.47,188.5179479,73.71,0.001228548,,,,,,,,,,,,,,,,
T=240,10:01,240,0.316,6,1824.3,188.5179479,6.35,0.000105826,,,,,,,,,,,,,,,,
,,,,22,2138.741512,722.6521335,200.37,,,,,,,,,,,,,,,,,
,,,,,Mean IPV,722.6521335,200.37,,,,,,,,,,,,,,,,,
,,,,,check volgorde formule,,,check of deze methode overeenkomt met mijn berekening in kolom k,,,,,,,,,,,,,,,,
Abbreviations,,,,,,,,180.6630334,,50.09336199,,,,,,,,,,,,,,
IPV (ml),Intraperitoneal volume = (C0 * V0)/Cn - (Abs * tn),,,,,,,,,,,,,,,,,,,,,,,
