SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,1998,,,,,,,,,,,,,,,,,,,,,,,
Sex:,F,,,,,,,,,,,,,,,,,,,,,,,
Weight:,,kg,,,,,,,,,,,,,,,,,,,,,,
Jugular katheter location,right,,,,,,,,,,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,,,,,,,,,,,,,,
PD catheter location:,Right (1),Left (1),Right (2),Right (3),,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,29-5-2018,12-9-2018,17-12-2018,17-1-2019,,,,,,,,,,,,,,,,,,,,
,removed,,the right (2) catheter was used during this experiment.,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,,Costs LKCH
,,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,,
T=0,,XXX,00:00,07:58,,2.8,268,139,,29.8,58,2.2,4.6,,,,,,,,,,,11.78
T=120,,XXX,02:00,10:03,,2.9,258,139,,29,58,2.33,5,,,,,,,,,,,11.78
T=240,,XXX,04:00,12:03,,2.9,261,139,,28.9,59,2.39,5,,,,,,,,,,,11.78
Mean,,,,,,2.9,262,,3.6,,,2.3,,,,,,,,,,,,
Dialysate concentrations,No. of sampling tubes,,,,,,,,,,,,,,,,,,,,,,,Costs LKCH
Sample,,Sample volume,Time code,Actual time,Dextran,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na,
,,mL,,,g/L,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,,
Partial drain overnight dwell,4,2,00:01,07:45,0.018,,,,4.1,315,3.83,,,,,0.3,0.13,,,,,,,8.91
Fresh PD fluid for SPA (PN 1.36% + blue dextran),6,2,00:02,08:05,0.579,,,,<1,,,,77.2,,,,,,,,,,,
T=0,,,00:03,,,0.2,15,,0.49,,,0.1,66,,,,,0.07,0.06,,,1,,
T=10,6,6,00:11,08:15,0.343,0.4,28,129,,46,0.34,0.2,64.7,,,,,0.14,0.1,,,0.98,#DIV/0!,16.06
T=20,1,2,00:21,08:25,0.339,,,,,,,,,,,,,,,,,,,
T=30,1,2,00:31,08:35,0.332,,,,,,,,,,,,,,,,,,,
T=60,6,6,01:01,09:05,0.326,0.8,52,128,,66,0.48,0.36,58.3,,,,,0.28,0.2,,,0.88,#DIV/0!,16.06
T=120,3,3,02:01,10:05,0.315,1.2,69,,3,,,0.49,54.1,,,,,0.41,0.27,,,0.82,,7.27
T=180,3,3,03:01,11:05,0.302,1.5,85,,,,,0.6,50.8,,,,,0.52,0.33,,,0.77,,7.27
T=240,6,27,04:01,12:05,0.296,1.7,102,127,3.1,113,0.85,0.71,46.5,,,,,0.59,0.39,0.3,0.86,0.7,0.91,16.06
PD effluent complete drain after infusion of fresh physioneal for next SPA dwell,4,4,06:11,,0.345,,,,,21,0.16,,,,,,,,,,,,,8.91
,,51,,,,,,,,,,,49.7,,,,,,,,,,,115.88
,,,,,,,,,,,,X,0.9,1.188,,,,,,,,,,
Exchange scheme:,,,,,,,,,,,,,,,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Total sample volume (mL),,,,,,,,,,,,,,,
Complete drain before start,1.36 % Physioneal ,2000,2355,210,1950,1955,75,1709,,Soortelijk gewicht:,,1.1,g/mL,,,,,,,,,,,
SPA dwell,1.36% Physioneal + blue dextran,2000,2250,210,1855,1950,75,1705,,,,,,,,,,,,,,,,
PD fluid for 2nd SPA dwell,1.36% Physioneal + blue dextran,2000,2355,240,1923,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IPV (mL),,,,"Dx0, absolute amount of Dextran at T=0",,,,0.7,,,,,,,,,,,
[Creatinine],,,2035,2150,2092.8,2093,2092.278039,,"Dxt, absolute amount of Dextran at T=240",,,,0.6,,,,,,,,,,,
[Total protein],181,446,,,,,,,Dx geometric,,,,0.3,,,,,,,,,,,
[Albumin],317,439,,,,,,,ELAR (mL/min),,,,0.7,,,,,,,,,,,
[Dextran] ,1346.7,-13538,,,,,,,,,,,,,,,,,,,,,,
RV,241,,,,,,,,,,,,,,,,,,,,,,,
Mean,NB RV meting obv albumine en totaal eiwit komt aardig overeen met RV obv in- en uitloop voorafgaand aan de SPA (=225 mL).,,,,,,,,,,,,,,,,,,,,,,,
Transport parameters:,,,,,,,,,,,,,,,,,,,,,,,,
,2-h Removal (mmol),Removal (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),Removal (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),2-h Removal sampling,Removal Sampling,,,,,,,,,,,,,
Creatinine,0.12,0.19,3.02,3.39,3.54,0.22,3.5,3.3,3.6,0.00064,0,,,,,,,,,,,,,
Urea,2.18,3.27,4.75,6.91,6.97,3.65,5.3,6.9,7,0.0096,0.02,,,,,,,,,,,,,
Phosphate,0.85,1.33,2.4,2.41,2.58,1.52,2.7,2.4,2.6,0.00448,0.01,,,,,,,,,,,,,
Potassium,5.5,5.73,6.63,15.9,15.71,,,,,0.039438496,0.05,,,,,,,,,,,,,
Glucose,,-33,,,,,,,,,1.2987,,,,,,,,,,,,,
Fluid parameters:,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Time code,Time,Blue dextran,Sample volume,IPV,ELAR,UFV,UFR,,,,,,,,,,,,,,,,
,,min,g/L,mL,mL,mL,mL,L/min,,,,,,,,,,,,,,,,
T=-1,,,0.579,,1855,,,,,,,,,,,,,,,,,,,
T=0,00:03,0,,6,,,,,,,,,,,,,,,,,,,,
T=10,00:11,10,0.343,6,2035.22,0,0,0,,,,,,,,,,,,,,,,
T=20,00:21,20,0.339,2,2046.23,6.933969337,23.94,0.002394357,,,,,,,,,,,,,,,,
T=30,00:31,30,0.332,2,2080.39,6.933969337,43.1,0.004310117,,,,,,,,,,,,,,,,
T=60,01:01,60,0.326,6,2095.85,20.80190801,38.25,0.001275089,,,,,,,,,,,,,,,,
T=120,02:01,120,0.315,3,2121.22,41.60381602,72.98,0.001216312,,,,,,,,,,,,,,,,
T=180,03:01,180,0.302,3,2167.8,41.60381602,91.18,0.001519694,,,,,,,,,,,,,,,,
T=240,04:01,240,0.296,6,2167.08,41.60381602,43.88,0.000731351,,,,,,,,,,,,,,,,
,,,,22,2121.502267,159.4812947,313.34,,,,,,,,,,,,,,,,,
,,,,,Mean IPV,159.4812947,313.34,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Abbreviations,,,,,,,,39.87032369,,78.33470143,,,,,,,,,,,,,,
