SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,1998,,,,,,,,,,,,,,,,,,,,,,,
Sex:,F,,,,,,,,,,,,,,,,,,,,,,,
Weight:,130,kg,,,,,,,,,,,,,,,,,,,,,,
Jugular katheter location,right,,,,,,,,,,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,,,,,,,,,,,,,,
PD catheter location:,Right (1),Left (1),Right (2),Right (3),,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,29-5-2018,12-9-2018,17-12-2018,17-1-2019,,,,,,,,,,,,,,,,,,,,
,removed,,,the right (3) catheter was used during this experiment.,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,,Costs LKCH
,,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,,
T=0,,XXX,00:00,10:35,,6.1,328,140,,31,63,2.42,4.8,,,,,,,,,,,11.78
T=120,,XXX,02:00,XX:XX,,5.7,340,140,,31.4,64,2.46,4.8,,,,,,,,,,,11.78
T=240,,XXX,04:00,XX:XX,,5.9,337,139,,31.4,64,2.5,4.8,,,,,,,,,,,11.78
Mean,,,,,,5.9,335,139.7,4,,,2.5,4.8,,,,,,,,,,,
Dialysate concentrations,No. of sampling tubes,,,,,,,,,,,,,,,,,,,,,,,Costs LKCH
Sample,,Sample volume,Time code,Actual time,Blue dextran,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na,
,,mL,,,g/L,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,,
drain after rinsing with PN 1.36%,4,6,00:01,10:09,0.01,,,,1,,,,,,,,,,,,,,,
Fresh PD fluid for SPA (PN 1.36% + blue dextran),6,6,00:02,10:35,0.385,,,,,,,,,,,,,,,,,,,
T=0,6,6,00:03,10:47,0.272,0.8,33,130,0.5,137,0.99,0.21,65.2,,,,,0.13,0.1,,,1,0.93,16.06
T=10,6,6,00:11,10:57,0.265,1.1,43,130,,161,1.15,0.27,64.7,,,,,0.18,0.13,,,0.99,,16.06
T=20,1,2,00:21,11:07,0.262,,,,,,,,,,,,,,,,,,,
T=30,1,2,00:31,11:17,0.26,,,,,,,,,,,,,,,,,,,
T=60,6,6,01:01,11:47,0.251,1.8,67,126,,187,1.37,0.42,59.7,,,,,0.31,0.2,,,0.92,0.9,16.06
T=120,3,3,02:01,12:47,0.246,2.5,88,,3.1,,,0.54,53.4,,,,,0.44,0.26,,,0.82,,7.27
T=180,3,3,03:01,13:47,0.242,3,105,,,,,0.65,48.1,,,,,0.52,0.31,,,0.74,,7.27
T=240,6,6,04:01,14:47,0.238,3.5,119,127,3.5,228,1.66,0.74,46.3,,,0.1,0.03,0.59,0.35,0.29,0.88,0.71,0.91,16.06
PD effluent complete drain after rinsing,4,4,04:02,XX:XX,0.038,,,,,48,0.31,,,,,,,,,,,,,8.91
,,40,,,,,,,,,,,49.1,,,,,,,,,,,123.03
,,,,,,,,,,,,X,0.88,1.1736,,,,,,,,,,
Exchange scheme:,,,,,,,,,,,,,,,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Total sample volume (mL),,,,,,,,,,,,,,,
Rinsing before SPA,1.36 % Physioneal ,2000,2355,75,2073,1910,75,1668,,Soortelijk gewicht:,,1.1,g/mL,,,,,,,,,,,
SPA dwell,1.36% Physioneal + blue dextran,2000,2250,125,1932,2615,75,2309,,,,,,,,,,,,,,,,
PD fluid for rinsing,1.36% Physioneal,2000,2250,1645,550,725,75,591,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IPV (mL),,,,,,,,,,,,,,,,,,,
[Creatinine],,,2336,2435,2386,TRUE,2385.532891,,,,,,,,,,,,,,,,,
[Total protein],,126,,,,,,,,,,,,,,,,,,,,,,
[Albumin],,147,,,,,,,,,,,,,,,,,,,,,,
[Dextran] ,803,105,,,,,,,,,,,,,,,,,,,,,,
Mean,405,"RV meting obv blue dextran is hier waarschijnlijk niet betrouwbaar, want het is vreemd dat er zo'n groot RV is op T=0 terwijl het varken al wekenlang een droge buik had voor deze SPA en we obv de PN wisseling voor start 378 mL RV zouden moeten hebben. Ik ben dus nu uitgegaan van 405 mL RV.",,,,,,,,,,,,,,,,,,,,,,
,NB omdat er geen overnight dwell was gedaan kon er geen RV obv albumine of totaal eiwit worden berekent  op T=0.,,,,,,,,,,,,,,,,,,,,,,,
Transport parameters:,,,,,,,,,,,,,,,,,,,,,,,,
,2-h Removal (mmol),Removal (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),Removal (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),2-h Removal sampling,Removal Sampling,,,,,,,,,,,,,
Creatinine,0.14,0.21,2.67,2.98,3.13,#REF!,#REF!,#REF!,#REF!,0.001078,0,,,,,,,,,,,,,
