SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,1998,,,,,,,,,,,,,,,,,,,,,,
Sex:,F,,,,,,,,,,,,,,,,,,,,,,
Weight:,,kg,,,,,,,,,,,,,,,,,,,,,
Jugular katheter location,right,,,,,,,,,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,,,,,,,,,,,,,
PD catheter location:,Right (1),Left (1),,,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,29-5-2018,12-9-2018,,,,,,,,,,,,,,,,,,,,,
,removed,the left (1) catheter was used during this experiment.,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,
,,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,
T=0,,XXX,03:57,,,16.2,985,137,,31.4,,2.67,,,,,,,,,,,
T=120,,XXX,05:59,,,15.2,960,134,,30.9,66,2.48,4.7,,,,,,,,,,
T=240,,XXX,08:00,,,15.5,966,139,,29.2,69,2.49,4.8,,,,,,,,,,
Mean,,,,,,15.6,970,137,4.7,,,2.5,,,,,,,,,,,
Dialysate concentrations,No. of sampling tubes,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,Dextran,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na
,,mL,,,g/L,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,
Partial drain overnight dwell,4,,03:58,09:23,0.026,4.6,182,129,2.2,344,2.99,0.46,60.1,,,,,,,,,,
Fresh PD fluid for SPA (PN 1.36% + blue dextran),6,,03:59,09:35,0.592243103,,,,<1,,,,77.2,,,,,,,,,,
T=0,,6.5,,,,1.3,49.9,,0.9,,,0.1,68,,,,,0.08,0.05,,,1,
T=10,6,6.5,04:10,09:46,0.494522191,3.3,129,130,1.5,100,0.82,0.3,64.5,,,,,0.2,0.13,,,0.95,0.95
T=20,1,6.5,04:20,09:56,0.483646541,,,,,,,,,,,,,,,,,,
T=30,1,6.5,04:30,10:05,0.483060104,,,,,,,,,,,,,,,,,,
T=60,6,6.5,05:00,10:36,0.477728908,6.9,271,,,,,0.63,53.4,,,,,0.44,0.28,,,0.79,0
T=120,3,6.5,06:00,11:36,0.474210316,9.2,375,129,3.6,156,1.31,0.86,46.4,,,,,0.61,0.39,,,0.68,
T=180,3,6.5,07:00,12:35,0.458483279,,,,,,,,,,,,,,,,,,
T=240,6,6.5,08:00,13:38,0.463601232,12.4,514,128,4.2,184,1.48,1.18,39.1,,,,,0.8,0.53,0.47,0.89,0.58,0.92
PD effluent complete drain after infusion of fresh physioneal for next SPA dwell,4,,08:10,14:05,0.156417433,,208,,,68,0.55,,,,,,,,,,,,
,,52,,,,,,,,,,X,48.9,,,,,,,,,,
,,,,,,,,,,,,%,0.88,1.22,,,,,,,,,
Exchange scheme:,,,,,,,,,,,,,,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Total sample volume (mL),,,,,,,,,,,,,,
Overnight dwell,3.86% Physioneal ,2000,2360,320,1855,2025,320,1550,,Soortelijk gewicht:,,1.1,g/mL,,,,,,,,,,
SPA dwell,1.36% Physioneal + blue dextran,2000,2350,195,1959,1750,75,1523,,,,,,,,,,,,,,,
Rinsing after SPA,1.36% Physioneal,2500,2360,790,1427,1650,75,1432,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IPV (mL),,,,"Dx0, absolute amount of Dextran at T=0",,,,1.2,,,,,,,,,,
[Creatinine],,,2699,2367,2533.1,2533,2529.459944,,"Dxt, absolute amount of Dextran at T=240",,,,1.1,,,,,,,,,,
[Total protein],740,844,,,,,,,Dx geometric,,,,0.5,,,,,,,,,,
[Albumin],803,837,,,,,,,ELAR (mL/min),,,,0.4,,,,,,,,,,
[Dextran] ,409,727,,,,,,,,,,,,,,,,,,,,,
