SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,2136,,,,,,,,,,Experimental notes: ,,,,,,,,,,,,,
Sex:,F,,,,,,,,,,Very slow instillment second bag - took an extra sample and weighed bag in between to determine rest volume (4:02) ,,,,,,,,,,,,,
Weight:,,kg,,,,,,,,,,,,,,,,,,,,,,
Jugular katheter location,,,,,,,,,,,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,,,,,,,,,,,,,,
PD catheter location:,,,,,,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,,,,,,,,,,,,,,,,,,,,,,,,
Dilysate used,EXTRANEAL ,,,,,,,,,,,,,,,,,,,,,,,
storage,,,,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,"38,3 C during experiment",38.6,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,,Costs lkch
Sample,,Sample volume,Time code,Actual time,,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,,
,,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,,
T=0,,5,04:00,12:50,,10.7,402,140,,26,56,2.78,5.2,,,,,,,,,,,11.78
T=120,,XXX,,,,,,,,,,,,,,,,,,,,,,
T=240,,5,08:00,,,10.2,399,139,,26.9,56,2.63,5.5,,,,,,,,,,,11.78
Mean,,,,,,10.5,401,,4,,,2.7,,,,,,,,,,,,
Dialysate concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,Blue dextran,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na,
,,mL,,,g/L,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,,
drain after PN 1.36% dwell of the previous SPA 1,,,04:01,12:49,0.390229041,7.2,145,,,28,0.23,0.78,,,,0.2,0.05,,,,,,,13.2
Fresh PD fluid for SPA (PN 1.36% + blue dextran),,,04:03,12:33,0.481155302,,,130,,,,,0.2,,,,,,,,,,,4.41
T=0,,6.2,04:05,13:17,0.447402869,2.5,51,,1.4,12,0.1,0.3,2.204347826,,,,,0.23,0.13,,,,,13.2
T=10,,6.2,04:11,13:25,0.428481797,2.8,55,130,,13,0.09,0.32,12.3,,,,,0.26,0.14,,,,#DIV/0!,16.06
T=20,,2.2,04:21,13:35,0.448782531,,,,,,,,,,,,,,,,,,,
T=30,,2.2,04:31,13:45,0.441095845,,,,,,,,,,,,,,,,,,,
T=60,,6.2,05:01,14:15,0.44523483,4.4,89,131,,18,0.15,0.5,12.1,,,,,0.42,0.22,,,,#DIV/0!,16.06
T=120,,3.2,06:01,15:15,0.4391249,5.7,117,,3,,,0.68,11.8,,,,,0.55,0.29,,,,,7.27
T=180,,3.2,07:01,16:16,0.431438215,6.5,144,,,,,0.81,11.9,,,,,0.62,0.36,,,,,7.27
T=240,,7.2,08:01,17:25,0.420992206,7.2,165,130,3.5,33,0.3,0.94,11.9,,,,,0.71,0.41,0.36,0.88,,#DIV/0!,16.06
RV measuremen,,4.2,04:02,13:08,0.447402869,,,,2.1,18,0.14,,,,,0.2,0.05,,,,,,,8.91
PD effluent complete drain after rinsing,,4.2,08:02,017:38:00,0.081595479,,,,,9,0.08,,,,,"<0,01",,,,,,,,8.91
,,,,,,,,,,,,X,11.8,,,,,,,,,,,134.91
Exchange scheme:,,,,,,,,,,,,%,0.21,0.22,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Draining times,,,,,,,,,,,,,,,
,,2000,,,#DIV/0!,1590,75,1387,Out,,,,,,,,,,,,,,,
SPA dwell,1.36% Extraneal + blue dextran,2000,2320,150,1973,2600,75,2295,In,12:45:00-13:15,Out,17:15:00,,,,,,,,,,,,
PD fluid for rinsing,1.36% Physioneal,2000,2330,1150,1073,,75,-68,,,,,,,,,,,,,,,,
,,,,145,,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IPV (mL),,,,,,,,,,,,,,,,,,,
[Creatinine],,,3490,2686,3087.9,3088,3070.319455,,,,,,,,,,,,,,,,,
[Total protein],1517,390,,,,-771,,,,,,,,,,,,,,,,,,
[Albumin],1480,402,,,,,,,,,,,,,,,,,,,,,,
