SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,2136,,,,,,,,,,Experimental notes: ,,,,,,,,,,,,,
Sex:,F,,,,,,,,,,prior to SPA a new catheter was placed on the right side of the abdomen which ran well during the experiment,,,,,,,,,,,,,
Weight:,,kg,,,,,,,,,"Pig was alert, however shaky.",,,,,,,,,,,,,
Jugular katheter location,,,,,,,,,,,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,,,,,,,,,,,,,,
PD catheter location:,,,,,,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,,,,,,,,,,,,,,,,,,,,,,,,
storage,,,,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,"38,3 C during experiment",38.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,,Costs lkch
Sample,,Sample volume,Time code,Actual time,,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,,
,,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,,
T=0,,XXX,00:00,09:26,,24.6,1541,136,,22.8,56,2.21,4.6,13.11,,,,,,,,,,16.1
T=120,,XXX,02:00,,,,,,,,,,,,,,,,,,,,,
T=240,,XXX,04:00,13:45,,24.6,1504,133,,24.2,58,2.38,5,13.11,,,,,,,,,,11.78
Mean,,,,,,24.6,1523,,5.6,,,2.3,,,,,,,,,,,,
Dialysate concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,Blue dextran,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na,
,,mL,,,g/L,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,,
drain after PN 1.36% dwell of the previous SPA 1,,,00:01,,,,,,1.6,,,,,,,,,,,,,,,
Fresh PD fluid for SPA (PN 1.36% + blue dextran),,,00:02,08:56,0.750493543,,,130,<1,,,,70.8,13.11,,,,,,,,,,4.41
T=0,,4,00:03,09:31,0.632665479,3,214,,1.2,86,0.88,0.2,64,13.11,,,,0.12,0.14,,,1,,13.2
T=10,,7,00:11,09:38,0.625612391,4.5,248,130,,98,1.02,0.35,61,13.11,,,,0.18,0.16,,,0.95,#DIV/0!,16.06
T=20,,2,00:21,09:49,0.612093971,,,,,,,,,13.11,,,,,,,,,,
T=30,,2,00:31,09:58,0.60981209,,,,,,,,,13.11,,,,,,,,,,
T=60,,6,01:01,10:29,0.609120611,6.9,322,129,,99,1.05,0.43,57.6,13.11,,,,0.28,0.21,,,0.9,#DIV/0!,16.06
T=120,,6,02:01,11:28,0.59950905,9.7,410,,4.8,,,0.54,53.2,13.11,,,,0.39,0.27,,,0.83,,7.27
T=180,,3,03:01,12:27,0.587892199,12,485,,,,,0.62,50.1,13.11,,,,0.49,0.32,,,0.78,,7.27
T=240,,7,04:01,13:37,0.585264577,14.1,565,125,5.1,106,1.1,0.71,46.1,13.11,,,,0.57,0.38,0.3,0.91,0.72,#DIV/0!,16.06
PD effluent complete drain after rinsing,,4.2,04:02,14:00,0.115715595,,,,,26,0.27,,,,,,,,,,,,,8.91
,,37,,,,,,,,,,X,53.7,,,,,,,,,,,117.12
,,,,,,,,,,,,%,0.97,1.15,,,,,,,,,,
Exchange scheme:,,,,,,,,,,,,,,,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Draining times,,,,,,,,,,,,,,,
Overnight dwell,1.36 % Physioneal + blue dextran,2000,,,#DIV/0!,,75,,Out,,,,,,,,,,,,,,,
SPA dwell,1.36% Physioneal + blue dextran,2000,2345,195,1955,2280,75,2005,In,9:17-9:27,Out,13:28-13:43,,,,,,,,,,,,
PD fluid for rinsing,1.36% Physioneal,2000,2165,1050,1014,,75,,in,13:38,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IPV (mL),,,,,,,,,,,,,,,,,,,
[Creatinine],,330,2319,2334,2326.4,2326,2326.413126,,,,,,,,,,,,,,,,,
[Total protein],,330,,,,,,,,,,,,,,,,,,,,,,
[Albumin],,329,,,,,,,,,,,,,,,,,,,,,,
